# libceerrno v1.0
#
# errno to Windows error mapping.

ELOOP WSAELOOP
ENAMETOOLONG WSAENAMETOOLONG
EHOSTDOWN WSAEHOSTDOWN
EHOSTUNREACH WSAEHOSTUNREACH
# Defined above because of conflict.
#ENOTEMPTY WSAENOTEMPTY
EPROCLIM WSAEPROCLIM
EUSERS WSAEUSERS
EDQUOT WSAEDQUOT
ESTALE WSAESTALE
EREMOTE WSAEREMOTE
